,Var1_1,Var1_2,X_real,X_img,y_real,y_img
67,0.003756813+4.939502e-05i,0.004211843+0.0005656878i,0.003756813,,0.004211843,0.0005656878
644,0.006586267-1.252978e-06i,0.006595913+0.0007238901i,0.006586267,,0.006595913,0.0007238901
698,0.00156634-7.559475e-05i,0.001626596-0.0001186371i,0.00156634,,0.001626596,-0.0001186371
699,0.003979956-2.557412e-05i,0.004054279+0.000340267i,0.003979956,,0.004054279,0.000340267
700,0.005962677-2.333464e-05i,0.006140067+0.0005876815i,0.005962677,,0.006140067,0.0005876815
720,0.00402523-4.698802e-05i,0.004394202+0.0003381494i,0.00402523,,0.004394202,0.0003381494
1136,-0.009159007-3.582845e-05i,-0.009280606-0.0005863612i,-0.009159007,,-0.009280606,-0.0005863612
1188,0.003320707-1.742411e-05i,0.003519542+0.0001163852i,0.003320707,,0.003519542,0.0001163852
1205,-0.01060858-7.724913e-05i,-0.01054665+4.845164e-05i,-0.01060858,,-0.01054665,
1262,0.003956872-8.853991e-05i,0.003778281+0.0005867383i,0.003956872,,0.003778281,0.0005867383
1356,0.0002172031-2.689892e-06i,0.0002330434+0.0001184434i,0.0002172031,,0.0002330434,0.0001184434
1441,-0.00295245+6.378524e-05i,-0.002772097-0.0004811536i,-0.00295245,,-0.002772097,-0.0004811536
1475,-0.007048802+1.433026e-05i,-0.007113698-0.0009690806i,-0.007048802,,-0.007113698,-0.0009690806
1479,-0.002924524-6.055855e-05i,-0.002769485-0.0006053846i,-0.002924524,,-0.002769485,-0.0006053846
1659,-0.002656663+3.995327e-05i,-0.002816386-0.0001365126i,-0.002656663,,-0.002816386,-0.0001365126
1721,0.002076066-9.23886e-05i,0.001926914+0.000214614i,0.002076066,,0.001926914,0.000214614
1790,-0.001051681+3.957073e-06i,-0.001040632-0.0005856228i,-0.001051681,,-0.001040632,-0.0005856228
1862,0.0007413025+1.157261e-05i,0.0008143455+0.0004603175i,0.0007413025,,0.0008143455,0.0004603175
1863,-0.002054+8.791825e-05i,-0.002081609+0.0001844777i,-0.002054,,-0.002081609,0.0001844777
1911,-0.005090584-9.648502e-06i,-0.005427522-0.0007802856i,-0.005090584,,-0.005427522,-0.0007802856
2243,-0.00810218-2.861704e-05i,-0.00826844-0.0008390149i,-0.00810218,,-0.00826844,-0.0008390149
